naics,group_name,real_energy_intensity
326140,High Energy,0.06967827539363242
325991,High Energy,0.06959222566853537
313230,High Energy,0.06956717317645232
311411,High Energy,0.06948769949439636
325411,High Energy,0.06892307408335178
327999,High Energy,0.0683943081224495
321212,High Energy,0.06822508299408553
315110,High Energy,0.06655568143058732
325199,High Energy,0.06599180626102442
313220,High Energy,0.06597888084228057
325211,High Energy,0.06547478011362531
327331,High Energy,0.06540082337906906
311119,High Energy,0.06486330903767622
325212,High Energy,0.06311382146371253
331314,High Energy,0.06295101069162562
326122,High Energy,0.06243936046709105
327991,High Energy,0.06206102984067835
326160,High Energy,0.06191441451719897
335221,High Energy,0.06134337394131189
316110,High Energy,0.06111934497228541
335222,High Energy,0.061089631390334624
313320,High Energy,0.060709378103116995
327320,High Energy,0.05953490320465118
325998,High Energy,0.05948635477984818
335224,High Energy,0.05940743409996839
326121,High Energy,0.059172809337728796
334412,High Energy,0.05902081230899096
324121,High Energy,0.05827179724485852
334419,High Energy,0.056819936450826405
327110,High Energy,0.055705394636073664
326211,High Energy,0.05544750094691665
322299,High Energy,0.054199403796495044
326199,High Energy,0.05341407635100677
311611,High Energy,0.052884079396585966
326299,High Energy,0.052113651625529896
325110,High Energy,0.051396507664474456
326191,High Energy,0.05110706720335784
326130,High Energy,0.05098038791936937
324122,High Energy,0.0504239583952531
326113,High Energy,0.049041355631756704
311111,High Energy,0.04647475290501143
314999,High Energy,0.04474929036825474
326112,High Energy,0.04401733147572272
311412,High Energy,0.03332227391225356
336111,High Energy,0.027416241929082145
336120,High Energy,0.025719876304041128
325612,High Energy,0.014513156474774734
336330,Low Energy,0.04153224251030906
336340,Low Energy,0.04067479355716557
336350,Low Energy,0.03576202890310554
336390,Low Energy,0.035164040986623644
316992,Low Energy,0.030696008623078697
323117,Low Energy,0.029569892988135404
336310,Low Energy,0.02923499342371515
337215,Low Energy,0.02907840364745924
339950,Low Energy,0.027218330617403964
333995,Low Energy,0.024775947228352475
322291,Low Energy,0.024661316537542874
325910,Low Energy,0.024630985086018558
316998,Low Energy,0.024377502187277255
332710,Low Energy,0.024171208738801627
332994,Low Energy,0.024073075512511484
337214,Low Energy,0.023789353487745697
